Id Cliente,Id Conta Bancária,Data de Emissao,Data de Vencimento,Data da Movimentação,Valor da Movimentação
53,x 10859524552-06,1/2/2018,1/2/2018,1/2/2018,"675,87"
178,x 39315597929-00,1/4/2018,1/4/2018,1/4/2018,"153538,56"
178,x 41541621975-04,1/5/2018,1/5/2018,1/5/2018,"29823,06"
178,x 63718177635-06,1/6/2018,1/6/2018,1/6/2018,"52492,86"
178,x 80771218846-00,1/6/2018,1/6/2018,1/6/2018,"29336,04"
178,x 94994947160-08,1/9/2018,1/9/2018,1/9/2018,"72147,34"
783,x 14057272557-06,1/9/2018,1/9/2018,1/9/2018,5576
178,x 10859524552-06,1/11/2018,1/11/2018,1/11/2018,"42301,72"
178,x 22208151256-06,1/12/2018,1/12/2018,1/12/2018,"1519,71"
178,x 64252401479-03,1/12/2018,1/12/2018,1/12/2018,173417
79,x 80771218846-00,1/13/2018,1/13/2018,1/13/2018,0
178,x 25497925389-08,1/13/2018,1/13/2018,1/13/2018,"39898,4"
178,x 50292624232-07,1/13/2018,1/13/2018,1/13/2018,"183676,5"
178,x 50292624232-07,1/16/2018,1/16/2018,1/16/2018,"60985,84"
356,x 29486015020-04,1/14/2018,1/16/2018,1/16/2018,"64376,96"
178,x 61586581630-06,1/18/2018,1/18/2018,1/18/2018,"32102,08"
178,x 10641176832-10,1/19/2018,1/19/2018,1/19/2018,"4465,05"
105,x 14599123731-03,1/6/2018,1/27/2018,1/23/2018,"132518,4"
105,x 25497925389-08,1/6/2018,1/27/2018,1/23/2018,"7633,59"
79,x 64252401479-03,1/4/2018,1/25/2018,1/25/2018,"12261,57"
178,x 29486015020-04,1/26/2018,1/26/2018,1/26/2018,"159952,32"
178,x 80771218846-00,1/26/2018,1/26/2018,1/26/2018,"40415,69"
178,x 10641176832-10,1/30/2018,1/30/2018,1/30/2018,"38593,9"
79,x 57767778949-09,1/4/2018,2/1/2018,1/31/2018,"12769,64"
196,x 94994947160-08,1/5/2018,1/26/2018,1/31/2018,"24967,63"
53,x 26759470396-10,2/1/2018,2/1/2018,2/1/2018,"824,32"
178,x 77167377617-02,2/1/2018,2/1/2018,2/1/2018,"36573,5"
178,x 50292624232-07,2/2/2018,2/2/2018,2/2/2018,"11342,96"
178,x 75664985359-06,2/2/2018,2/2/2018,2/2/2018,"142684,67"
782,x 61320183682-00,1/12/2018,2/9/2018,2/2/2018,5576
787,x 75664985359-06,1/11/2018,2/8/2018,2/2/2018,"3972,9"
196,x 25455392583-10,1/5/2018,2/2/2018,2/3/2018,"27617,04"
424,x 25497925389-08,1/6/2018,2/3/2018,2/3/2018,7412
426,x 61586581630-06,1/6/2018,2/3/2018,2/3/2018,3706
178,x 63718177635-06,2/6/2018,2/6/2018,2/6/2018,"31757,44"
780,x 86791017985-09,1/11/2018,2/8/2018,2/7/2018,6970
79,x 75664985359-06,1/4/2018,2/8/2018,2/8/2018,"13544,81"
178,x 26759470396-10,2/8/2018,2/8/2018,2/8/2018,"72509,46"
196,x 94994947160-08,1/18/2018,2/8/2018,2/8/2018,"26456,98"
