,id_venda,id_produto,quantidade,id_cliente_venda,id_funcionario_venda,data,nome,preco,id_categoria_produto,id_fornecedor_produto,id_cliente,nome_cliente,telefone,cidade,email,genero,endereco,renda,data_nascimento,id_funcionario,nome_funcionario,data_nascimento_funcionario,genero_funcionario,estado_civil,dependentes,cargo,salario,id_fornecedor,nome_fornecedor,cidade_fornecedor,endereco_fornecedor,cnpj,id_categoria,nome_categoria,custo_total
0,1,1,2,1,1,2024-07-01,Smartphone X,1500.0,1,1,1,João Silva,(11) 98765-4321,São Paulo,joao@email.com,Masculino,"Rua A, 123",5000.0,1980-05-10,1,Fernando Silva,1982-07-15,Masculino,Casado,2,Vendedor,3500.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,3000.0
1,44,7,3,4,2,2024-08-13,"Monitor LED 24""",800.0,1,1,4,Ana Souza,(51) 98765-7654,Porto Alegre,ana@email.com,Feminino,"Av. D, 987",3800.0,1990-12-08,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,2400.0
2,84,7,3,4,2,2024-09-22,"Monitor LED 24""",800.0,1,1,4,Ana Souza,(51) 98765-7654,Porto Alegre,ana@email.com,Feminino,"Av. D, 987",3800.0,1990-12-08,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,2400.0
3,14,7,1,14,2,2024-07-14,"Monitor LED 24""",800.0,1,1,14,Patrícia Costa,(51) 98765-1098,Porto Alegre,patricia@email.com,Feminino,"Rua N, 765",4200.0,1981-12-31,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,800.0
4,24,7,3,24,2,2024-07-24,"Monitor LED 24""",800.0,1,1,24,Tatiana Costa,(51) 98765-1098,Porto Alegre,tatiana@email.com,Feminino,"Rua X, 876",4200.0,1982-01-27,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,2400.0
5,64,7,3,24,2,2024-09-02,"Monitor LED 24""",800.0,1,1,24,Tatiana Costa,(51) 98765-1098,Porto Alegre,tatiana@email.com,Feminino,"Rua X, 876",4200.0,1982-01-27,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,2400.0
6,104,7,3,24,2,2024-10-12,"Monitor LED 24""",800.0,1,1,24,Tatiana Costa,(51) 98765-1098,Porto Alegre,tatiana@email.com,Feminino,"Rua X, 876",4200.0,1982-01-27,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,2400.0
7,56,12,1,16,4,2024-08-25,Fone de Ouvido Bluetooth,100.0,1,1,16,Juliana Ferreira,(11) 98765-9876,São Paulo,juliana@email.com,Feminino,"Rua P, 876",4800.0,1987-09-17,4,Patrícia Souza,1988-06-05,Feminino,Solteira,0,Vendedora,3200.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,100.0
8,96,12,1,16,4,2024-10-04,Fone de Ouvido Bluetooth,100.0,1,1,16,Juliana Ferreira,(11) 98765-9876,São Paulo,juliana@email.com,Feminino,"Rua P, 876",4800.0,1987-09-17,4,Patrícia Souza,1988-06-05,Feminino,Solteira,0,Vendedora,3200.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,100.0
9,36,12,1,36,4,2024-08-05,Fone de Ouvido Bluetooth,100.0,1,1,36,Vanessa Ferreira,(11) 98765-9876,São Paulo,vanessa@email.com,Feminino,"Rua J1, 234",4800.0,1989-11-26,4,Patrícia Souza,1988-06-05,Feminino,Solteira,0,Vendedora,3200.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,100.0
10,76,12,1,36,4,2024-09-14,Fone de Ouvido Bluetooth,100.0,1,1,36,Vanessa Ferreira,(11) 98765-9876,São Paulo,vanessa@email.com,Feminino,"Rua J1, 234",4800.0,1989-11-26,4,Patrícia Souza,1988-06-05,Feminino,Solteira,0,Vendedora,3200.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,100.0
11,116,12,1,36,4,2024-10-24,Fone de Ouvido Bluetooth,100.0,1,1,36,Vanessa Ferreira,(11) 98765-9876,São Paulo,vanessa@email.com,Feminino,"Rua J1, 234",4800.0,1989-11-26,4,Patrícia Souza,1988-06-05,Feminino,Solteira,0,Vendedora,3200.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,100.0
12,9,12,3,9,7,2024-07-09,Fone de Ouvido Bluetooth,100.0,1,1,9,Gustavo Martins,(51) 98765-6543,Porto Alegre,gustavo@email.com,Masculino,"Av. I, 234",7000.0,1980-10-15,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,300.0
13,49,17,3,9,7,2024-08-18,Mouse Sem Fio,50.0,1,1,9,Gustavo Martins,(51) 98765-6543,Porto Alegre,gustavo@email.com,Masculino,"Av. I, 234",7000.0,1980-10-15,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,150.0
14,89,17,3,9,7,2024-09-27,Mouse Sem Fio,50.0,1,1,9,Gustavo Martins,(51) 98765-6543,Porto Alegre,gustavo@email.com,Masculino,"Av. I, 234",7000.0,1980-10-15,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,150.0
15,19,17,1,19,7,2024-07-19,Mouse Sem Fio,50.0,1,1,19,Fernando Oliveira,(51) 98765-6543,Porto Alegre,fernando@email.com,Masculino,"Av. S, 987",7000.0,1983-11-11,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,50.0
16,29,17,3,29,7,2024-07-29,Mouse Sem Fio,50.0,1,1,29,Leandro Oliveira,(51) 98765-6543,Porto Alegre,leandro@email.com,Masculino,"Av. C1, 321",7000.0,1984-12-17,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,150.0
17,69,17,3,29,7,2024-09-07,Mouse Sem Fio,50.0,1,1,29,Leandro Oliveira,(51) 98765-6543,Porto Alegre,leandro@email.com,Masculino,"Av. C1, 321",7000.0,1984-12-17,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,150.0
18,109,17,3,29,7,2024-10-17,Mouse Sem Fio,50.0,1,1,29,Leandro Oliveira,(51) 98765-6543,Porto Alegre,leandro@email.com,Masculino,"Av. C1, 321",7000.0,1984-12-17,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,150.0
19,41,1,1,1,9,2024-08-10,Smartphone X,1500.0,1,1,1,João Silva,(11) 98765-4321,São Paulo,joao@email.com,Masculino,"Rua A, 123",5000.0,1980-05-10,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
20,81,1,1,1,9,2024-09-19,Smartphone X,1500.0,1,1,1,João Silva,(11) 98765-4321,São Paulo,joao@email.com,Masculino,"Rua A, 123",5000.0,1980-05-10,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
21,121,1,1,1,9,2024-10-29,Smartphone X,1500.0,1,1,1,João Silva,(11) 98765-4321,São Paulo,joao@email.com,Masculino,"Rua A, 123",5000.0,1980-05-10,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
22,21,1,1,21,9,2024-07-21,Smartphone X,1500.0,1,1,21,Ricardo Lima,(11) 98765-4321,São Paulo,ricardo@email.com,Masculino,"Av. U, 1098",5800.0,1988-12-05,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
23,61,1,1,21,9,2024-08-30,Smartphone X,1500.0,1,1,21,Ricardo Lima,(11) 98765-4321,São Paulo,ricardo@email.com,Masculino,"Av. U, 1098",5800.0,1988-12-05,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
24,101,1,1,21,9,2024-10-09,Smartphone X,1500.0,1,1,21,Ricardo Lima,(11) 98765-4321,São Paulo,ricardo@email.com,Masculino,"Av. U, 1098",5800.0,1988-12-05,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,1,Fornecedor A,São Paulo,"Rua G, 234",1234,1,Eletrônicos,1500.0
25,4,2,1,4,3,2024-07-04,Notebook Y,3000.0,1,2,4,Ana Souza,(51) 98765-7654,Porto Alegre,ana@email.com,Feminino,"Av. D, 987",3800.0,1990-12-08,3,Marcos Oliveira,1975-03-10,Masculino,Divorciado,1,Caixa,2800.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
26,51,2,1,11,9,2024-08-20,Notebook Y,3000.0,1,2,11,Felipe Santos,(11) 98765-4321,São Paulo,felipe@email.com,Masculino,"Av. K, 567",5800.0,1986-11-28,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
27,91,2,1,11,9,2024-09-29,Notebook Y,3000.0,1,2,11,Felipe Santos,(11) 98765-4321,São Paulo,felipe@email.com,Masculino,"Av. K, 567",5800.0,1986-11-28,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
28,31,2,1,31,9,2024-07-31,Notebook Y,3000.0,1,2,31,Marcelo Lima,(11) 98765-4321,São Paulo,marcelo@email.com,Masculino,"Av. E1, 1098",5800.0,1989-01-22,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
29,71,2,1,31,9,2024-09-09,Notebook Y,3000.0,1,2,31,Marcelo Lima,(11) 98765-4321,São Paulo,marcelo@email.com,Masculino,"Av. E1, 1098",5800.0,1989-01-22,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
30,111,2,1,31,9,2024-10-19,Notebook Y,3000.0,1,2,31,Marcelo Lima,(11) 98765-4321,São Paulo,marcelo@email.com,Masculino,"Av. E1, 1098",5800.0,1989-01-22,9,Lucas Costa,1989-08-10,Masculino,Solteiro,0,Vendedor,3400.0,2,Fornecedor B,Rio de Janeiro,"Av. H, 567",9876,1,Eletrônicos,3000.0
31,2,3,1,2,2,2024-07-02,Camiseta Z,50.0,2,3,2,Maria Santos,(21) 98765-5432,Rio de Janeiro,maria@email.com,Feminino,"Av. B, 456",4000.0,1985-08-15,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,50.0
32,54,8,2,14,2,2024-08-23,Calça Jeans,120.0,2,3,14,Patrícia Costa,(51) 98765-1098,Porto Alegre,patricia@email.com,Feminino,"Rua N, 765",4200.0,1981-12-31,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,240.0
33,94,8,2,14,2,2024-10-02,Calça Jeans,120.0,2,3,14,Patrícia Costa,(51) 98765-1098,Porto Alegre,patricia@email.com,Feminino,"Rua N, 765",4200.0,1981-12-31,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,240.0
34,34,8,2,34,2,2024-08-03,Calça Jeans,120.0,2,3,34,Fernanda Costa,(51) 98765-1098,Porto Alegre,fernanda@email.com,Feminino,"Rua H1, 876",4200.0,1983-02-09,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,240.0
35,74,8,2,34,2,2024-09-12,Calça Jeans,120.0,2,3,34,Fernanda Costa,(51) 98765-1098,Porto Alegre,fernanda@email.com,Feminino,"Rua H1, 876",4200.0,1983-02-09,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,240.0
36,114,8,2,34,2,2024-10-22,Calça Jeans,120.0,2,3,34,Fernanda Costa,(51) 98765-1098,Porto Alegre,fernanda@email.com,Feminino,"Rua H1, 876",4200.0,1983-02-09,2,Aline Costa,1980-12-20,Feminino,Solteira,0,Gerente,6000.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,240.0
37,7,8,1,7,5,2024-07-07,Calça Jeans,120.0,2,3,7,Rafael Costa,(21) 98765-8765,Rio de Janeiro,rafael@email.com,Masculino,"Av. G, 654",5500.0,1983-04-18,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,120.0
38,47,13,1,7,5,2024-08-16,Vestido Floral,150.0,2,3,7,Rafael Costa,(21) 98765-8765,Rio de Janeiro,rafael@email.com,Masculino,"Av. G, 654",5500.0,1983-04-18,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
39,87,13,1,7,5,2024-09-25,Vestido Floral,150.0,2,3,7,Rafael Costa,(21) 98765-8765,Rio de Janeiro,rafael@email.com,Masculino,"Av. G, 654",5500.0,1983-04-18,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
40,17,13,1,17,5,2024-07-17,Vestido Floral,150.0,2,3,17,Gabriel Silva,(21) 98765-8765,Rio de Janeiro,gabriel@email.com,Masculino,"Av. Q, 543",5500.0,1982-02-19,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
41,27,13,1,27,5,2024-07-27,Vestido Floral,150.0,2,3,27,Lucas Silva,(21) 98765-8765,Rio de Janeiro,lucas@email.com,Masculino,"Av. A1, 543",5500.0,1983-03-25,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
42,67,13,1,27,5,2024-09-05,Vestido Floral,150.0,2,3,27,Lucas Silva,(21) 98765-8765,Rio de Janeiro,lucas@email.com,Masculino,"Av. A1, 543",5500.0,1983-03-25,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
43,107,13,1,27,5,2024-10-15,Vestido Floral,150.0,2,3,27,Lucas Silva,(21) 98765-8765,Rio de Janeiro,lucas@email.com,Masculino,"Av. A1, 543",5500.0,1983-03-25,5,Rafael Martins,1983-09-18,Masculino,Casado,3,Gerente,6500.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,150.0
44,59,18,1,19,7,2024-08-28,Blusa de Frio,80.0,2,3,19,Fernando Oliveira,(51) 98765-6543,Porto Alegre,fernando@email.com,Masculino,"Av. S, 987",7000.0,1983-11-11,7,Rodrigo Santos,1977-11-30,Masculino,Divorciado,2,Caixa,2800.0,3,Fornecedor C,Belo Horizonte,"Rua I, 890",5678,2,Roupas,80.0
