,ID_Avaliacao,ID_Funcionario,Data_Avaliacao,Pontuacao,Comentario,Nome,Idade,Departamento,Cargo,Salario,Data_Contratacao,ID_Desligamento,Data_Desligamento,Motivo
0,,1,,,,Jacob Lee,39,RH,Diretor,11725.0,2015-01-31,,,
1,91.0,2,2029-07-31,4.51929,Huge evidence claim across source best bad music.,Regina Young,27,TI,Diretor,12553.0,2015-02-28,,,
2,52.0,3,2026-04-30,3.39245,Win place born week sister different.,Steven Townsend,56,RH,Gerente,10534.2,2015-03-31,,,
3,,4,,,,David Miranda,43,Vendas,Coordenador,3665.24,2015-04-30,39.0,2023-09-24,Desempenho Insatisfatório
4,90.0,5,2029-06-30,4.27702,Increase build shake yeah pretty well answer.,Rebecca Cox,36,Financeiro,Diretor,6397.48,2015-05-31,,,
5,,6,,,,Marissa Barnes,43,RH,Gerente,14065.1,2015-06-30,,,
6,5.0,7,2022-05-31,4.91225,Positive give drug read it site mission.,Samuel Brown,58,TI,Coordenador,4920.0,2015-07-31,,,
7,31.0,7,2024-07-31,1.37363,Child task daughter southern significant.,Samuel Brown,58,TI,Coordenador,4920.0,2015-07-31,,,
8,,8,,,,Alyssa Palmer,33,Financeiro,Analista,6838.17,2015-08-31,,,
9,,9,,,,Joseph Dickson,59,Vendas,Diretor,7617.0,2015-09-30,48.0,2023-11-26,Pedido de Demissão
10,10.0,10,2022-10-31,3.17939,Standard dog water ever ask land.,Amy Parsons,39,RH,Analista,7712.26,2015-10-31,,,
11,,11,,,,Michelle Sherman,56,RH,Coordenador,9968.21,2015-11-30,,,
12,61.0,12,2027-01-31,1.47058,Any technology face trip use the give.,Margaret Harris,51,RH,Diretor,14260.0,2015-12-31,,,
13,,13,,,,Charles Bates,45,Financeiro,Coordenador,5129.01,2016-01-31,,,
14,9.0,14,2022-09-30,4.48854,Stay outside successful others day.,Michelle Luna,51,TI,Analista,3579.52,2016-02-29,,,
15,45.0,14,2025-09-30,3.23128,Newspaper thousand program true street buy course.,Michelle Luna,51,TI,Analista,3579.52,2016-02-29,,,
16,33.0,15,2024-09-30,1.78244,Product position religious suggest conference since order.,Glenda Curry,35,TI,Diretor,4567.12,2016-03-31,43.0,2023-10-22,Pedido de Demissão
17,39.0,15,2025-03-31,2.2494,Treat argue goal model.,Glenda Curry,35,TI,Diretor,4567.12,2016-03-31,43.0,2023-10-22,Pedido de Demissão
18,12.0,16,2022-12-31,4.01643,Tax station goal live word history company.,Chris Glover,27,RH,Analista,13530.0,2016-04-30,50.0,2023-12-10,Corte de Custos
19,97.0,16,2030-01-31,2.68047,Majority people especially bring base.,Chris Glover,27,RH,Analista,13530.0,2016-04-30,50.0,2023-12-10,Corte de Custos
20,82.0,17,2028-10-31,4.67283,Leg church center instead executive wrong public.,Michael Mendoza,24,Vendas,Coordenador,10395.5,2016-05-31,37.0,2023-09-10,Desempenho Insatisfatório
